label,text
identity-based,انقلع الاسيويه صعبه قويه
racisme,الشاب مامي مغني عالمي وقته غلط دخل السجن نورمال حد سمع بيه العياشي المخزني كون قطه تولد زقاق كازا يقولك الكابرانات اغتاصبوها
racisme,زريعه القنب سميتك فعايلك العياد بالله
identity-based,يرجال رح خلك علي ون بيس افضل دب قالك اذا سب اسطوره ناديه يعني يهمه مصلحه النادي
identity-based,هاد خادش تاريخ ليفربول كله بالخماسيه لسا بيحكي عالسياره استحي يول
identity-based,حتي سرقتوها الاهلي
identity-based,دكتور المطبع مجرد عبد يملك امره شء سوي ان يطيع اسياده
identity-based,التشكيله الي بتجلد توتنهام جلد
gender_hate,اقسم بالله كذب محد يجيب الهم وامراض القلب الحريم
racisme,بذمتكم دوله بدل يطورون دولتهم التعليم وصحه ويشبعون شعبهم المسكين
identity-based,مريض انت متي النصر هزم مدريد اذا تقصد مباراه الاعتزال والله انك سبيكه والاهداف سجلها لعيبه مايلعبون بالنصر
racisme,نص صاروخ لانها اسمها دويله وليسي دوله
religion_hate,احلف بقبر الخميني عشان اصدقك
identity-based,حقيقه بمناسبه الاعياد الوطنيه لعن الله ظلم الكويتيون ومارس العنصريه والتمييز ضدهم وهم ابناء الوطن يلتفتون لنباح كلاب الرميله للذباب مدفوع الثمن مرابطون الوطن وساءرون حقوقنا كره الفاسدون الخدم والعبيد
identity-based,نهاييه تليق بالمختل مرتضي ومعرصينه اللي برنامج الزمالك اليوم
identity-based,وانت يابو مخدم ايش مسنتر مل منشن اهلاوي ابعد لاتوسخنا بقرفك
identity-based,مو عيب انك تبدا تشجع نادي امس عادي العيب انك مسوي امها متعصب ومدرك النادي وقديم والحلم يتحقق الليله ياعيال حسابات نيوكاسل عنركم شفتوها استحواذ السعوديه طيب اصبر لين يصير فريق منافس عشان يكون لتشجيعك سبب كلها سنه علي طول حبيته ياكذاب
identity-based,تتناقش مشجعين بهذي العقليه انصحكم نقاشك معهم مضيعه للوقت اسمعوا
religion_hate,اليد الوسخه قاتله للسنه اما اليههوذ احباءهم
identity-based,غردت سابقا وغيري وضح ان المدعو باعث اهلاويا انما اتحادي مندس
racisme,نريد ان نكون صادقين المنافقين وناكثي العهود والمتلونين حثاله باب اليمن
religion_hate,عبدالله بن سبا لعب اعدادات الرافظه
identity-based,الله مسلطه ربي القواطي والانديه الي يشجعونها بنظام المسيار
identity-based,وصعدتوا وقابلتوا الاهلي نصف النهاءي وخدكم رايح جاي يعني مكسبتوش افضل ليكم
racisme,هه شعب ملعون اردت الحياه اردلك الموت ازيدي ثلاثه وثلاثون سنه يسرق وقتل جرو تكلم
identity-based,مخابرات الجزاءر الغبيه تنشء صفحات ومجموعات عنصريه باسم المغرب مقراتها الجزاءر العاصمه
religion_hate,خرب بالدين مالتك اذا عندك دين
identity-based,مشاهير التيك توك اللي يتابعونهم ناس تافهين بلا استثناء
gender_hate,تبن برا ويقعد يتكلم دامك طلعت برا السعوديه فكنا غثثاثتك الله الذكور غثثين بجميع الاشكال ملحدين مسليمين رابط الغثاثه
identity-based,غضو ابصاركم اجل ابلع انفولو بدال ماتقول جزاك الله خير بعدين تسوي اقتباس يامواليد مانشستر
identity-based,كدبه عندك اي مصدر الا بياع قات عندكم
identity-based,كلهم والله جواهم مرتضي حديده الجنايني وال العدل كلهم كلهم الزريبه
identity-based,اترك موضوع شايع انت مايهمك النصر كونان النصر الذكي انت مقتنع بسياسه ناديك طريقه عمل الاداره تستلم النادي المتعاقبه الحروب بيهم وتدمير ناديكم تتصيحون تبكون انكم مظلومين محاربين الكل اساس الخراب منكم وفيكم هدي ماتهمك اهم شء لاتتكلم الاداره الحمدلله
identity-based,حتي شجعت ضده اليوم تراك متعود تشجع غيره لانك مسياري
racisme,تشبه البنقالي اللي يشتغل بقاله الحاره
religion_hate,الاخو ان بيحللوا السرقه والقت والفحشاء
identity-based,ياعم الناس دي زي الاعلام العره بالضبط تشوفهم تحس مصر سويسرا والواقع فرد المجتمع يعلم ماوصل اليه سوء وتدني علي المستويات جاهلين ان الناس معندهاش ثقه الحكومه ومءسستها اتحولوا لتجار علي الشعب مصه دمه البطيء
appearance-based,يع الاشكال تفشل يع الله لايبلانا
religion_hate,ظهور المهدي يحضر بشتم الناس قتل المشايخ هيدي تقافه الولي السفيه نشر ارهاب مخدرات مماتعه
identity-based,والله فقده حسبي الله علي لاعب الارسنال
racisme,يمني عايش فقطر وعامل اسراءيلي ايش دخلك فالسعوديه
racisme,اصلا المغرب ككل شعبا وبركاته ومخزن راهم مغتصبون
racisme,اسمحو انتم الجزاءريون معروف عيكم الكذب السرقه لذلك عندما تقولينا هده الكلام باطل اوله المرجو توفير هده المصادر الكتب فقولك مراكش بدل المغرب يظهر حقد هوسكم بالمملكه المغربيه حتي نتبع المفهوم المحزن تبعكم الاستعمار كانت العاصمه فاس مراكش
racisme,يخوي الحين اسالك بالله انت مصدق السالفه برشلونه دفع عشان القرار يجي بسرعه بلقطات برشلونه ظلم وخسر الدوري يدفع ويخسر الدوري بفارق نقاط وفيه مباراه الكوره وصلت بيتنا والحكم مايحسبه قول انتم حمير انا ليه اناقشكم الدمام والثاني مشيط
racisme,طول السكه صغير سهل بناءه بلدكم صغير بالنسبه لبلدي
identity-based,مترددين يخافون الجمهور شكل اتحاد الفقر متدخل مثلما تدخل نيشمورا اللي جراهم علي الهلال اتحاد الفقر والا الاتحادات يخالفون القوانين عندهم الفاشل يقدم استقالته مهوب اتحاد الفقر فاشل وبجيح
identity-based,الان باقه النادي محتل خسروا بليل حسين الرجاله هيشتموا الخطيب الدوله عشان وقعوا مرتضي
appearance-based,يابن الحلال مر اقرب عياده بقطر علشان يضبطون اسنانك حرام ياخي ذبحتنا انت وسنونك الصفراء
identity-based,والهلال وبيرميظ العفاريت كتروا ماشاء الله
identity-based,مستر الفيزيا بيشرح فجاه قالنا مين بقاا ابن كلب ملحدد يجي يقولك مفيش ربنا وعامه اه ده بييقي شعوري يوم
identity-based,حكم بطل الله يوفقه ويارب يستمر ويسدد الديون زي ماسدده علي الشغاله الطحلبيه
racisme,العرب فيهم هوس تقليد الغرب الهيلق اذا ماعندهم ذوق مو ضروري تقلدونهم
religion_hate,الجاهل والله الي يعبد الاضرحه والقبور ويقدسها ويتبرك عندها عكس اهل السنه
identity-based,وان شاء الله تبقون تفوزون باي بطوله
identity-based,الطاقيه محنه غيره حريم لاحد يمدح لاعبين النصر يتحقرص وينفضخ قلبه
identity-based,حزب السلاح العماله وقع مكيده اميركيه اذعنو رضخلاراده الولايات المتحده الاميركيه خيار ذلكسلاح ايران رجعو لايران الشباب المغرر فيهن بعدهن عايشين يرجعوا علي بلادن علي هويتهن الوطنيهكفاكن عماله احلام شيطانيه ارسال الشباب الي جنتكن المزعومه
identity-based,بيشقهم شق الهلال مافيه نادي قطري يضاهي الهلال
identity-based,يخوي ضد توتنهام الفريق الي دايم نعاني ضده بسبب دفاعهم الغثيث
identity-based,اقسم بالله العظيم محد ينتقد فرينكي الا شبيحه بيدري مش طبيعي يارجل بيدري دي يونج الفريق كبروا عقولكم شوي احا
identity-based,هه الله يديم الكاءن النصراوي مفروض يضموكم لهيءه الترفيه والله وناسه يافقراويه
racisme,سيري اختي عطي وقتك لراجلك وولدك هوما دايمين ليك خلينا حنا زوافريه راه مساليين لهاد الكراغله بغاو السبان بغاو الوقار بغاوها كاينه
appearance-based,مرات يكون رايك صح وجهك خرا عشان اختلف معك
identity-based,تتكلم المسيار وانت خليت فريق فالعالم شجعته
identity-based,فريقه صاير مسخره لانديه اوروبا ومحطه عبور مره بالمنشن
identity-based,عمرك شفت هلالي لابس تيشرت الخصم اللي يلعب ضد النصر طيب عمرك شفت هلالي لمحل حلويات وقاله اعمل شعار الخصم اللي يلعب ضد النصر طيب عمرك شفت هلالي داخل رابطه مدرجات الخصم اللي يلعب ضد النصر ياعزيزي المقارنه كبير اسيا والنصر فاشله بكل المقاييس
racisme,اهلا بالاجءيين المصريين المخروبه ماسر بقوا زي سوريا والعراق
